url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,genre,gender
https://www.billboard.com/charts/hot-100/2019-03-16,2019-03-16,1,Sucker,Jonas Brothers,SuckerJonas Brothers,1,NA,1,1,Pop,Male
http://www.billboard.com/charts/hot-100/2013-08-10,2013-08-10,2,Best Song Ever,One Direction,Best Song EverOne Direction,1,NA,2,1,Pop,Male
http://www.billboard.com/charts/hot-100/1997-05-24,1997-05-24,5,Say You'll Be There,Spice Girls,Say You'll Be ThereSpice Girls,1,NA,5,1,Pop,Female
http://www.billboard.com/charts/hot-100/2008-07-12,2008-07-12,5,Burnin' Up,Jonas Brothers,Burnin' UpJonas Brothers,1,NA,5,1,Pop,Male
http://www.billboard.com/charts/hot-100/1997-08-16,1997-08-16,6,2 Become 1,Spice Girls,2 Become 1Spice Girls,1,NA,6,1,Pop,Female
http://www.billboard.com/charts/hot-100/2013-11-16,2013-11-16,6,Story Of My Life,One Direction,Story Of My LifeOne Direction,1,NA,6,1,Pop,Male
http://www.billboard.com/charts/hot-100/2015-11-07,2015-11-07,10,Perfect,One Direction,PerfectOne Direction,1,NA,10,1,Pop,Male
http://www.billboard.com/charts/hot-100/1996-03-23,1996-03-23,11,Real Love,The Beatles,Real LoveThe Beatles,1,NA,11,1,Rock,Male
http://www.billboard.com/charts/hot-100/2008-08-23,2008-08-23,11,A Little Bit Longer,Jonas Brothers,A Little Bit LongerJonas Brothers,1,NA,11,1,Pop,Male
http://www.billboard.com/charts/hot-100/2013-12-07,2013-12-07,11,Diana,One Direction,DianaOne Direction,1,NA,11,1,Pop,Male
http://www.billboard.com/charts/hot-100/2014-10-18,2014-10-18,13,Steal My Girl,One Direction,Steal My GirlOne Direction,1,NA,13,1,Pop,Male
http://www.billboard.com/charts/hot-100/2008-08-02,2008-08-02,16,Pushin' Me Away,Jonas Brothers,Pushin' Me AwayJonas Brothers,1,NA,16,1,Pop,Male
http://www.billboard.com/charts/hot-100/2014-01-04,2014-01-04,10,Story Of My Life,One Direction,Story Of My LifeOne Direction,1,10,6,8,Pop,Male
http://www.billboard.com/charts/hot-100/1969-08-02,1969-08-02,10,The Ballad Of John And Yoko,The Beatles,The Ballad Of John And YokoThe Beatles,1,8,8,8,Rock,Male
http://www.billboard.com/charts/hot-100/1972-01-29,1972-01-29,10,Sugar Daddy,Jackson 5,Sugar DaddyJackson 5,1,10,10,8,Pop,Male
http://www.billboard.com/charts/hot-100/1986-08-23,1986-08-23,10,The Edge Of Heaven,Wham!,The Edge Of HeavenWham!,1,10,10,8,Pop,Male
http://www.billboard.com/charts/hot-100/1985-09-28,1985-09-28,87,Janet,Commodores,JanetCommodores,1,89,87,2,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1996-01-06,1996-01-06,87,Fu-Gee-La,Fugees,Fu-Gee-LaFugees,1,89,87,2,R&B/Hip Hop,NA
http://www.billboard.com/charts/hot-100/2017-07-15,2017-07-15,86,Down,Fifth Harmony Featuring Gucci Mane,DownFifth Harmony Featuring Gucci Mane,1,79,42,4,Pop,Female
http://www.billboard.com/charts/hot-100/1967-01-07,1967-01-07,30,Happenings Ten Years Time Ago,The Yardbirds,Happenings Ten Years Time AgoThe Yardbirds,1,30,30,7,Rock,Male
http://www.billboard.com/charts/hot-100/1966-01-01,1966-01-01,30,I Hear A Symphony,The Supremes,I Hear A SymphonyThe Supremes,1,20,1,10,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1971-04-03,1971-04-03,30,Mama's Pearl,Jackson 5,Mama's PearlJackson 5,1,18,2,10,Pop,Male
http://www.billboard.com/charts/hot-100/1966-03-19,1966-03-19,30,My World Is Empty Without You,The Supremes,My World Is Empty Without YouThe Supremes,1,16,5,10,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1968-05-25,1968-05-25,31,Lady Madonna,The Beatles,Lady MadonnaThe Beatles,1,15,4,10,Rock,Male
http://www.billboard.com/charts/hot-100/1999-07-31,1999-07-31,31,God Must Have Spent A Little More Time On You,Alabama Featuring 'N Sync,God Must Have Spent A Little More Time On YouAlabama Featuring 'N Sync,1,31,31,10,Pop,Male
http://www.billboard.com/charts/hot-100/2001-05-12,2001-05-12,35,"So Fresh, So Clean",OutKast,"So Fresh, So CleanOutKast",1,30,30,11,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1964-06-06,1964-06-06,36,Do You Want To Know A Secret,The Beatles,Do You Want To Know A SecretThe Beatles,1,19,2,11,Rock,Male
http://www.billboard.com/charts/hot-100/1966-05-28,1966-05-28,36,Shapes Of Things,The Yardbirds,Shapes Of ThingsThe Yardbirds,1,21,11,11,Rock,Male
http://www.billboard.com/charts/hot-100/1969-10-18,1969-10-18,20,Something,The Beatles,SomethingThe Beatles,1,NA,20,1,Rock,Male
http://www.billboard.com/charts/hot-100/2008-07-05,2008-07-05,20,Play My Music,Jonas Brothers,Play My MusicJonas Brothers,1,NA,20,1,Pop,Male
http://www.billboard.com/charts/hot-100/1964-07-18,1964-07-18,21,A Hard Day's Night,The Beatles,A Hard Day's NightThe Beatles,1,NA,21,1,Rock,Male
http://www.billboard.com/charts/hot-100/1969-10-18,1969-10-18,23,Come Together/Something,The Beatles,Come Together/SomethingThe Beatles,1,NA,23,1,Rock,Male
http://www.billboard.com/charts/hot-100/1964-03-28,1964-03-28,27,Can't Buy Me Love,The Beatles,Can't Buy Me LoveThe Beatles,1,NA,27,1,Rock,Male
https://www.billboard.com/charts/hot-100/2019-04-20,2019-04-20,27,Cool,Jonas Brothers,CoolJonas Brothers,1,NA,27,1,Pop,Male
http://www.billboard.com/charts/hot-100/1966-06-11,1966-06-11,28,Paperback Writer,The Beatles,Paperback WriterThe Beatles,1,NA,28,1,Rock,Male
http://www.billboard.com/charts/hot-100/2001-06-02,2001-06-02,29,Pop,'N Sync,Pop'N Sync,1,NA,29,1,Pop,Male
http://www.billboard.com/charts/hot-100/1997-11-08,1997-11-08,32,Spice Up Your Life,Spice Girls,Spice Up Your LifeSpice Girls,1,NA,32,1,Pop,Female
http://www.billboard.com/charts/hot-100/2012-08-04,2012-08-04,34,Settle Down,No Doubt,Settle DownNo Doubt,1,NA,34,1,Pop,Coed
http://www.billboard.com/charts/hot-100/1998-06-20,1998-06-20,36,Stop,Spice Girls,StopSpice Girls,1,NA,36,1,Pop,Female
http://www.billboard.com/charts/hot-100/1984-12-22,1984-12-22,37,Careless Whisper,Wham! Featuring George Michael,Careless WhisperWham! Featuring George Michael,1,NA,37,1,Pop,Male
http://www.billboard.com/charts/hot-100/2009-05-30,2009-05-30,37,Paranoid,Jonas Brothers,ParanoidJonas Brothers,1,NA,37,1,Pop,Male
http://www.billboard.com/charts/hot-100/1968-09-14,1968-09-14,38,Revolution,The Beatles,RevolutionThe Beatles,1,NA,38,1,Rock,Male
http://www.billboard.com/charts/hot-100/1964-05-16,1964-05-16,11,Can't Buy Me Love,The Beatles,Can't Buy Me LoveThe Beatles,1,5,1,8,Rock,Male
http://www.billboard.com/charts/hot-100/2010-07-03,2010-07-03,11,Rock That Body,The Black Eyed Peas,Rock That BodyThe Black Eyed Peas,1,9,9,8,Pop,Coed
http://www.billboard.com/charts/hot-100/1968-04-20,1968-04-20,11,Scarborough Fair (/Canticle),Simon & Garfunkel,Scarborough Fair (/Canticle)Simon & Garfunkel,1,13,11,8,Rock,Male
http://www.billboard.com/charts/hot-100/1969-02-22,1969-02-22,11,"Baby, Baby Don't Cry",Smokey Robinson & The Miracles,"Baby, Baby Don't CrySmokey Robinson & The Miracles",1,14,11,8,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1966-07-30,1966-07-30,12,Paperback Writer,The Beatles,Paperback WriterThe Beatles,1,6,1,8,Rock,Male
http://www.billboard.com/charts/hot-100/1967-04-15,1967-04-15,12,Penny Lane,The Beatles,Penny LaneThe Beatles,1,6,1,8,Rock,Male
http://www.billboard.com/charts/hot-100/1969-05-31,1969-05-31,12,The Boxer,Simon & Garfunkel,The BoxerSimon & Garfunkel,1,8,7,8,Rock,Male
http://www.billboard.com/charts/hot-100/1964-09-12,1964-09-12,12,And I Love Her,The Beatles,And I Love HerThe Beatles,1,12,12,8,Rock,Male
http://www.billboard.com/charts/hot-100/1982-05-15,1982-05-15,12,The Beatles' Movie Medley,The Beatles,The Beatles' Movie MedleyThe Beatles,1,12,12,8,Rock,Male
http://www.billboard.com/charts/hot-100/1982-03-06,1982-03-06,12,Spirits In The Material World,The Police,Spirits In The Material WorldThe Police,1,13,12,8,Rock,Male
http://www.billboard.com/charts/hot-100/1966-08-13,1966-08-13,13,Over Under Sideways Down,The Yardbirds,Over Under Sideways DownThe Yardbirds,1,14,13,8,Rock,Male
http://www.billboard.com/charts/hot-100/1981-03-28,1981-03-28,13,Don't Stand So Close To Me,The Police,Don't Stand So Close To MeThe Police,1,15,13,8,Rock,Male
http://www.billboard.com/charts/hot-100/2005-06-25,2005-06-25,13,Don't Cha,The Pussycat Dolls Featuring Busta Rhymes,Don't ChaThe Pussycat Dolls Featuring Busta Rhymes,1,17,13,8,Pop,Female
http://www.billboard.com/charts/hot-100/1964-08-08,1964-08-08,87,If I Fell,The Beatles,If I FellThe Beatles,1,92,87,2,Rock,Male
http://www.billboard.com/charts/hot-100/2008-10-04,2008-10-04,88,Lovebug,Jonas Brothers,LovebugJonas Brothers,1,84,84,2,Pop,Male
http://www.billboard.com/charts/hot-100/1983-10-08,1983-10-08,88,Mama,Genesis,MamaGenesis,1,93,88,2,Rock,Male
http://www.billboard.com/charts/hot-100/2008-10-18,2008-10-18,86,Lovebug,Jonas Brothers,LovebugJonas Brothers,1,78,78,4,Pop,Male
http://www.billboard.com/charts/hot-100/2003-03-08,2003-03-08,86,"Ma, I Don't Love Her",Clipse Featuring Faith Evans,"Ma, I Don't Love HerClipse Featuring Faith Evans",1,86,86,4,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1994-07-23,1994-07-23,86,Nappy Heads,Fugees,Nappy HeadsFugees,1,89,86,4,R&B/Hip Hop,NA
http://www.billboard.com/charts/hot-100/1972-11-11,1972-11-11,87,I Guess I'll Miss The Man,The Supremes,I Guess I'll Miss The ManThe Supremes,1,88,87,4,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1980-07-05,1980-07-05,31,Misunderstanding,Genesis,MisunderstandingGenesis,1,35,31,7,Rock,Male
http://www.billboard.com/charts/hot-100/1992-12-19,1992-12-19,31,Never A Time,Genesis,Never A TimeGenesis,1,35,31,7,Rock,Male
http://www.billboard.com/charts/hot-100/1977-06-18,1977-06-18,32,Hollywood,Rufus Featuring Chaka Khan,HollywoodRufus Featuring Chaka Khan,1,33,32,7,R&B/Hip Hop,Coed
http://www.billboard.com/charts/hot-100/2004-05-22,2004-05-22,32,Hey Mama,The Black Eyed Peas,Hey MamaThe Black Eyed Peas,1,40,32,7,Pop,Coed
http://www.billboard.com/charts/hot-100/2013-01-12,2013-01-12,33,Little Things,One Direction,Little ThingsOne Direction,1,41,33,7,Pop,Male
http://www.billboard.com/charts/hot-100/2015-01-17,2015-01-17,34,Night Changes,One Direction,Night ChangesOne Direction,1,34,31,7,Pop,Male
http://www.billboard.com/charts/hot-100/1965-07-10,1965-07-10,37,Back In My Arms Again,The Supremes,Back In My Arms AgainThe Supremes,1,15,1,11,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1984-01-14,1984-01-14,37,Synchronicity II,The Police,Synchronicity IIThe Police,1,19,16,11,Rock,Male
http://www.billboard.com/charts/hot-100/1994-05-07,1994-05-07,37,Player's Ball,OutKast,Player's BallOutKast,1,40,37,11,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2008-09-20,2008-09-20,38,Burnin' Up,Jonas Brothers,Burnin' UpJonas Brothers,1,29,5,11,Pop,Male
http://www.billboard.com/charts/hot-100/1968-05-11,1968-05-11,38,Scarborough Fair (/Canticle),Simon & Garfunkel,Scarborough Fair (/Canticle)Simon & Garfunkel,1,36,11,11,Rock,Male
http://www.billboard.com/charts/hot-100/1998-08-29,1998-08-29,38,Stop,Spice Girls,StopSpice Girls,1,36,16,11,Pop,Female
http://www.billboard.com/charts/hot-100/2005-07-09,2005-07-09,38,Cater 2 U,Destiny's Child,Cater 2 UDestiny's Child,1,45,38,11,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1967-10-21,1967-10-21,39,Reflections,Diana Ross & The Supremes,ReflectionsDiana Ross & The Supremes,1,22,2,11,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1973-01-06,1973-01-06,39,Corner Of The Sky,Jackson 5,Corner Of The SkyJackson 5,1,25,18,11,Pop,Male
http://www.billboard.com/charts/hot-100/2016-09-17,2016-09-17,40,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,All In My Head (Flex)Fifth Harmony Featuring Fetty Wap,1,31,24,11,Pop,Female
http://www.billboard.com/charts/hot-100/1978-04-01,1978-04-01,41,(What A) Wonderful World,Art Garfunkel With James Taylor & Paul Simon,(What A) Wonderful WorldArt Garfunkel With James Taylor & Paul Simon,1,17,17,11,Rock,Male
http://www.billboard.com/charts/hot-100/1965-06-05,1965-06-05,42,Ooo Baby Baby,The Miracles,Ooo Baby BabyThe Miracles,1,24,16,11,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1992-10-03,1992-10-03,32,Jesus He Knows Me,Genesis,Jesus He Knows MeGenesis,1,23,23,10,Rock,Male
