week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,collab,genre,gender,parent_group
1996-04-13,56,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,NA,56,1,No,R&B/Hip Hop,Male,Commodores
1996-04-20,51,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,56,51,2,No,R&B/Hip Hop,Male,Commodores
1996-04-27,49,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,51,49,3,No,R&B/Hip Hop,Male,Commodores
1996-05-04,39,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,49,39,4,No,R&B/Hip Hop,Male,Commodores
1996-05-11,41,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,39,39,5,No,R&B/Hip Hop,Male,Commodores
1996-05-18,44,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,41,39,6,No,R&B/Hip Hop,Male,Commodores
1996-05-25,47,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,44,39,7,No,R&B/Hip Hop,Male,Commodores
1996-06-01,53,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,47,39,8,No,R&B/Hip Hop,Male,Commodores
1996-06-08,67,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,53,39,9,No,R&B/Hip Hop,Male,Commodores
1996-06-15,70,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,67,39,10,No,R&B/Hip Hop,Male,Commodores
1996-06-22,77,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,70,39,11,No,R&B/Hip Hop,Male,Commodores
1996-06-29,86,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,77,39,12,No,R&B/Hip Hop,Male,Commodores
1996-07-06,88,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,86,39,13,No,R&B/Hip Hop,Male,Commodores
1996-07-13,93,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,88,39,14,No,R&B/Hip Hop,Male,Commodores
1996-07-20,97,Don't Wanna Lose You,Lionel Richie,Don't Wanna Lose YouLionel Richie,1,93,39,15,No,R&B/Hip Hop,Male,Commodores
2016-02-20,1,Pillowtalk,Zayn,PillowtalkZayn,1,NA,1,1,No,Pop,Male,One Direction
